"","Software_collapsed","year","n_doi","n_doi_year","Percent"
"1","Stata",2004,2,3,66.67
"2","Stata",2005,7,14,50
"3","Stata",2007,8,13,61.54
"4","Stata",2008,25,52,48.08
"5","Stata",2009,74,137,54.01
"6","Stata",2010,108,165,65.45
"7","Stata",2011,135,190,71.05
"8","Stata",2012,149,199,74.87
"9","Stata",2013,164,217,75.58
"10","Stata",2014,220,305,72.13
"11","Stata",2015,212,276,76.81
"12","Stata",2016,192,254,75.59
"13","Stata",2017,218,280,77.86
"14","Stata",2018,223,282,79.08
"15","Stata",2019,125,161,77.64
"16","Matlab",2004,1,3,33.33
"17","Matlab",2005,2,14,14.29
"18","Matlab",2007,4,13,30.77
"19","Matlab",2008,11,52,21.15
"20","Matlab",2009,29,137,21.17
"21","Matlab",2010,26,165,15.76
"22","Matlab",2011,44,190,23.16
"23","Matlab",2012,53,199,26.63
"24","Matlab",2013,54,217,24.88
"25","Matlab",2014,75,305,24.59
"26","Matlab",2015,58,276,21.01
"27","Matlab",2016,53,254,20.87
"28","Matlab",2017,65,280,23.21
"29","Matlab",2018,67,282,23.76
"30","Matlab",2019,31,161,19.25
"31","None",1999,1,1,100
"32","None",2000,1,1,100
"33","None",2004,1,3,33.33
"34","None",2005,4,14,28.57
"35","None",2006,2,2,100
"36","None",2007,2,13,15.38
"37","None",2008,14,52,26.92
"38","None",2009,32,137,23.36
"39","None",2010,25,165,15.15
"40","None",2011,18,190,9.47
"41","None",2012,15,199,7.54
"42","None",2013,11,217,5.07
"43","None",2014,27,305,8.85
"44","None",2015,20,276,7.25
"45","None",2016,29,254,11.42
"46","None",2017,19,280,6.79
"47","None",2018,20,282,7.09
"48","None",2019,17,161,10.56
"49","SAS",2005,2,14,14.29
"50","SAS",2007,3,13,23.08
"51","SAS",2008,2,52,3.85
"52","SAS",2009,9,137,6.57
"53","SAS",2010,5,165,3.03
"54","SAS",2011,10,190,5.26
"55","SAS",2012,8,199,4.02
"56","SAS",2013,10,217,4.61
"57","SAS",2014,22,305,7.21
"58","SAS",2015,12,276,4.35
"59","SAS",2016,11,254,4.33
"60","SAS",2017,7,280,2.5
"61","SAS",2018,7,282,2.48
"62","SAS",2019,3,161,1.86
"63","R",2009,1,137,0.73
"64","R",2010,2,165,1.21
"65","R",2011,4,190,2.11
"66","R",2012,6,199,3.02
"67","R",2013,8,217,3.69
"68","R",2014,6,305,1.97
"69","R",2015,13,276,4.71
"70","R",2016,11,254,4.33
"71","R",2017,16,280,5.71
"72","R",2018,18,282,6.38
"73","R",2019,12,161,7.45
"74","Fortran",2008,4,52,7.69
"75","Fortran",2009,3,137,2.19
"76","Fortran",2010,6,165,3.64
"77","Fortran",2011,7,190,3.68
"78","Fortran",2012,6,199,3.02
"79","Fortran",2013,3,217,1.38
"80","Fortran",2014,9,305,2.95
"81","Fortran",2015,5,276,1.81
"82","Fortran",2016,6,254,2.36
"83","Fortran",2017,8,280,2.86
"84","Fortran",2018,5,282,1.77
"85","Fortran",2019,2,161,1.24
"86","Python",2008,3,52,5.77
"87","Python",2010,2,165,1.21
"88","Python",2011,6,190,3.16
"89","Python",2012,3,199,1.51
"90","Python",2013,5,217,2.3
"91","Python",2014,6,305,1.97
"92","Python",2015,3,276,1.09
"93","Python",2016,4,254,1.57
"94","Python",2017,5,280,1.79
"95","Python",2018,10,282,3.55
"96","Python",2019,7,161,4.35
"97","C",2009,1,137,0.73
"98","C",2010,3,165,1.82
"99","C",2011,1,190,0.53
"100","C",2013,4,217,1.84
"101","C",2014,6,305,1.97
"102","C",2015,7,276,2.54
"103","C",2016,2,254,0.79
"104","C",2017,2,280,0.71
"105","C",2018,5,282,1.77
"106","C",2019,3,161,1.86
"107","Other",2005,1,14,7.14
"108","Other",2007,1,13,7.69
"109","Other",2008,5,52,9.62
"110","Other",2009,8,137,5.84
"111","Other",2010,13,165,7.88
"112","Other",2011,6,190,3.16
"113","Other",2012,8,199,4.02
"114","Other",2013,9,217,4.15
"115","Other",2014,16,305,5.25
"116","Other",2015,10,276,3.62
"117","Other",2016,11,254,4.33
"118","Other",2017,13,280,4.64
"119","Other",2018,19,282,6.74
"120","Other",2019,9,161,5.59
